dataset,task,horizon,fold,model,MAE,RMSE,R2,n,fit_seconds
ETTh2,forecast,24,fold2,LightGBM,3.06129921548402,4.282112547088627,0.7399201567101001,2928,4.73
ETTh2,forecast,24,fold3,Persistence,2.7087620260770655,3.5824438856587473,0.7236973753637794,2952,0.0
ETTh2,forecast,24,fold3,SeasonalNaive,4.207777265824004,5.549499189988125,0.3369690491483162,2952,0.0
ETTh2,forecast,24,fold3,Ridge,2.9221983256633934,3.660782508260285,0.7114812295361771,2952,0.44
ETTh2,forecast,24,fold3,LightGBM,2.7592225048004098,3.6336995564344807,0.7157344380589608,2952,5.41
ETTh2,forecast,24,fold4,Persistence,3.7078927014686616,5.007968828285397,0.6916410145083586,2852,0.0
ETTh2,forecast,24,fold4,SeasonalNaive,5.369747196307189,7.405356310619941,0.32574326486151,2852,0.0
ETTh2,forecast,24,fold4,Ridge,3.607408657174775,4.554182651963206,0.7449917308897773,2852,0.49
ETTh2,forecast,24,fold4,LightGBM,3.774029538904811,4.827189885027793,0.7135016403091807,2852,13.65
ETTh2,forecast,168,fold1,Persistence,5.505340860949622,7.884589640140455,0.1906154901382789,2880,0.0
ETTh2,forecast,168,fold1,SeasonalNaive,9.399538486699264,13.536984917596232,-1.385836006223491,2880,0.0
ETTh2,forecast,168,fold1,Ridge,25.334350137601156,40.48576841903227,-20.34034674103053,2880,0.25
ETTh2,forecast,168,fold1,LightGBM,4.820844366830278,6.7061806980930685,0.4144726293839795,2880,11.39
ETTh2,forecast,168,fold2,Persistence,4.840302297977802,6.398762844095188,0.4855502062383886,2928,0.0
ETTh2,forecast,168,fold2,SeasonalNaive,7.892477376213491,10.494051307026409,-0.3836853259060346,2928,0.0
ETTh2,forecast,168,fold2,Ridge,4.8995496005767185,6.032719692538924,0.5427252069837853,2928,0.34
ETTh2,forecast,168,fold2,LightGBM,4.577037365136836,5.8205681269017715,0.5743214932512621,2928,6.03
ETTh2,forecast,168,fold3,Persistence,4.879985438296975,6.016327001438112,0.1654890066419806,2952,0.0
ETTh2,forecast,168,fold3,SeasonalNaive,7.86134520405651,9.878171372971426,-1.249688086848134,2952,0.0
ETTh2,forecast,168,fold3,Ridge,4.241180631702553,5.430313048507763,0.3201408777381909,2952,0.32
ETTh2,forecast,168,fold3,LightGBM,4.480505109637113,5.5324565851633345,0.2943241987289343,2952,5.53
ETTh2,forecast,168,fold4,Persistence,6.641475071406963,8.486964303158912,0.0623307592444752,2708,0.0
ETTh2,forecast,168,fold4,SeasonalNaive,11.68627898379654,14.9380198390092,-1.904898634558339,2708,0.0
ETTh2,forecast,168,fold4,Ridge,5.022797481787414,6.257011837705803,0.4903419691614669,2708,0.56
ETTh2,forecast,168,fold4,LightGBM,5.584922868032929,6.934654201600728,0.373970875567065,2708,7.51
ETTh2,nowcast,0,fold1,TrainMean,7.639336403069777,9.178105843830076,-0.0559807595243166,2880,0.0
ETTh2,nowcast,0,fold1,Ridge,32.007022919816244,49.48569878363726,-29.69794447727344,2880,0.16
ETTh2,nowcast,0,fold1,LightGBM,7.730020074092725,9.843758578815091,-0.2147077143409252,2880,13.56
ETTh2,nowcast,0,fold2,TrainMean,10.14074639171054,12.231213077070809,-1.1448816288586738,2928,0.0
ETTh2,nowcast,0,fold2,Ridge,4.247286583739894,5.363301144695042,0.5875905280573582,2928,0.25
ETTh2,nowcast,0,fold2,LightGBM,5.575570588087865,6.8130299293783105,0.3345049047120465,2928,11.76
ETTh2,nowcast,0,fold3,TrainMean,15.061168091529607,16.44959163504454,-4.723661684940978,2952,0.0
ETTh2,nowcast,0,fold3,Ridge,4.687928084872288,6.090162336411959,0.2154485094485529,2952,0.34
ETTh2,nowcast,0,fold3,LightGBM,7.924199195078359,9.260024602554871,-0.8137941409326805,2952,13.68
ETTh2,nowcast,0,fold4,TrainMean,7.860452151979978,9.49078123622161,-0.1044584627749267,2876,0.0
ETTh2,nowcast,0,fold4,Ridge,4.6483015363037685,5.889133771101417,0.5747461049908755,2876,0.49
ETTh2,nowcast,0,fold4,LightGBM,4.471466738725837,5.473055994297936,0.6327132645307321,2876,26.47
ETTh2,forecast,1,fold1,LightGBM+外気温,0.4987330703043767,1.1362068693445242,0.983809523651967,2880,20.91
ETTh2,forecast,1,fold2,LightGBM+外気温,0.394608182345707,0.6376261581022676,0.9941753012676126,2928,14.98
ETTh2,forecast,1,fold3,LightGBM+外気温,0.3158150237320044,0.4545479188200357,0.995627106971806,2952,13.16
ETTh2,forecast,1,fold4,LightGBM+外気温,0.3932839935066889,0.6044191108529159,0.9955193218902144,2875,22.0
ETTh2,forecast,24,fold1,LightGBM+外気温,3.3741344602146643,4.598846245286702,0.73478879089443,2880,23.51
ETTh2,forecast,24,fold2,LightGBM+外気温,2.9642281903937455,3.8957309633187194,0.7847374633507309,2928,18.95
ETTh2,forecast,24,fold3,LightGBM+外気温,2.739918394574877,3.4688242291248343,0.7409457000155568,2952,20.34
ETTh2,forecast,24,fold4,LightGBM+外気温,3.4093841387561294,4.437669745072098,0.757872938534689,2852,18.05
ETTh2,forecast,168,fold1,LightGBM+外気温,4.973862446961369,6.780292305633577,0.4014595128370959,2880,7.18
ETTh2,forecast,168,fold2,LightGBM+外気温,4.712186628484827,5.84691346784345,0.5704593185336763,2928,5.41
ETTh2,forecast,168,fold3,LightGBM+外気温,4.224657304806328,5.225825955992417,0.370379182125133,2952,3.23
ETTh2,forecast,168,fold4,LightGBM+外気温,5.328288465623483,6.580016708980115,0.4363637567900493,2708,7.28
ETTh2,nowcast,0,fold1,LightGBM+外気温,3.432874214108492,4.510498289158019,0.7449655043463669,2880,7.13
ETTh2,nowcast,0,fold2,LightGBM+外気温,3.738937206296169,4.394097293241316,0.72317608715714,2928,17.57
ETTh2,nowcast,0,fold3,LightGBM+外気温,3.1020162668292945,3.937320903495825,0.6720819379732814,2952,3.82
ETTh2,nowcast,0,fold4,LightGBM+外気温,2.639414813391619,3.3174402391887896,0.8650565908821961,2876,18.04
