dataset,horizon,fold,model,MAE,RMSE,R2,n,threshold,n_events,TP,FP,FN,TN,precision,recall,f1,false_alarm_rate
ETTh1,24,fold3,LGBM q=0.9,2.654978463955997,2.9563770975699066,-0.017845475252995957,2952,8.875222952684089,87,82,724,5,2141,0.10173697270471464,0.9425287356321839,0.18365061590145576,0.25270506108202445
ETTh1,24,fold4,Persistence,1.7474046268227392,2.30681625494855,0.4624606911786102,2852,12.304695181458728,361,215,102,146,2389,0.6782334384858044,0.5955678670360111,0.6342182890855457,0.040947410678442396
ETTh1,24,fold4,LGBM q=0.5,1.0006213250667024,1.3297642461274266,0.8213785847587702,2852,12.304695181458728,361,223,43,138,2448,0.8383458646616542,0.6177285318559557,0.7113237639553429,0.017262143717382578
ETTh1,24,fold4,LGBM q=0.7,1.1285812953657282,1.4770863985904077,0.779607901225997,2852,12.304695181458728,361,295,99,66,2392,0.748730964467005,0.817174515235457,0.7814569536423841,0.03974307507025291
ETTh1,24,fold4,LGBM q=0.8,1.288544141491459,1.661294488894787,0.7212098206373296,2852,12.304695181458728,361,325,168,36,2323,0.6592292089249493,0.9002770083102493,0.7611241217798594,0.067442794058611
ETTh1,24,fold4,LGBM q=0.9,1.589954654745751,1.9860931793083063,0.6015411635396699,2852,12.304695181458728,361,339,252,22,2239,0.5736040609137056,0.9390581717451524,0.7121848739495797,0.1011641910879165
ETTh1,168,fold1,Persistence,3.382123948012789,4.443677002863521,0.14702839832727432,2880,19.32736396115687,383,86,175,297,2322,0.32950191570881227,0.2245430809399478,0.2670807453416149,0.07008410092110533
ETTh1,168,fold1,LGBM q=0.5,2.516217611486535,3.3324752522294725,0.5202848101445756,2880,19.32736396115687,383,42,25,341,2472,0.6268656716417911,0.10966057441253264,0.18666666666666668,0.010012014417300761
ETTh1,168,fold1,LGBM q=0.7,2.541015185803387,3.305767371490351,0.5279432825931261,2880,19.32736396115687,383,65,85,318,2412,0.43333333333333335,0.16971279373368145,0.24390243902439027,0.03404084901882259
ETTh1,168,fold1,LGBM q=0.8,2.622855623331063,3.3467510400574385,0.5161659613713625,2880,19.32736396115687,383,100,149,283,2348,0.40160642570281124,0.26109660574412535,0.3164556962025316,0.059671605927112535
ETTh1,168,fold1,LGBM q=0.9,3.0730369443074386,3.8583415833248673,0.3569408062716095,2880,19.32736396115687,383,205,394,178,2103,0.34223706176961605,0.5352480417754569,0.4175152749490835,0.15778934721666
ETTh1,168,fold2,Persistence,2.9157889192221593,3.801670641754345,0.43225612959111936,2928,20.83406642072839,210,61,89,149,2629,0.4066666666666667,0.2904761904761905,0.3388888888888889,0.032744665194996324
ETTh1,168,fold2,LGBM q=0.5,1.7529057941767325,2.225480634900253,0.8054410941156268,2928,20.83406642072839,210,190,276,20,2442,0.40772532188841204,0.9047619047619048,0.562130177514793,0.10154525386313466
ETTh1,168,fold2,LGBM q=0.7,2.1936366966430696,2.7154732622171247,0.7103359904771567,2928,20.83406642072839,210,201,342,9,2376,0.3701657458563536,0.9571428571428572,0.5338645418326693,0.12582781456953643
ETTh1,168,fold2,LGBM q=0.8,2.3751990988811347,2.920081410486795,0.6650396550071545,2928,20.83406642072839,210,205,369,5,2349,0.35714285714285715,0.9761904761904762,0.5229591836734694,0.1357615894039735
ETTh1,168,fold2,LGBM q=0.9,2.8161624743566174,3.4048679101323316,0.5445884793658222,2928,20.83406642072839,210,205,428,5,2290,0.32385466034755134,0.9761904761904762,0.4863582443653618,0.15746872700515085
ETTh1,168,fold3,Persistence,2.4650210071970937,3.096888772744473,-0.3233430815161935,2952,8.875222952684089,96,1,83,95,2773,0.011904761904761904,0.010416666666666666,0.011111111111111112,0.029061624649859945
ETTh1,168,fold3,LGBM q=0.5,1.7573075778622134,2.1551175433789225,0.35914000736991003,2952,8.875222952684089,96,48,77,48,2779,0.384,0.5,0.4343891402714932,0.02696078431372549
ETTh1,168,fold3,LGBM q=0.7,1.7748336850152386,2.1722286390089183,0.3489230708717187,2952,8.875222952684089,96,54,106,42,2750,0.3375,0.5625,0.421875,0.03711484593837535
ETTh1,168,fold3,LGBM q=0.8,2.117079019971187,2.574070587168868,0.08575595489142485,2952,8.875222952684089,96,75,275,21,2581,0.21428571428571427,0.78125,0.3363228699551569,0.09628851540616247
ETTh1,168,fold3,LGBM q=0.9,2.8331776960812385,3.230675745055067,-0.44015082750507295,2952,8.875222952684089,96,91,613,5,2243,0.12926136363636365,0.9479166666666666,0.2275,0.21463585434173668
ETTh1,168,fold4,Persistence,3.1158836683261164,4.035341563734282,-0.7927314389740914,2708,12.31906189654391,419,48,268,371,2021,0.1518987341772152,0.11455847255369929,0.1306122448979592,0.11708169506334644
ETTh1,168,fold4,LGBM q=0.5,1.4643154526954754,1.8477520416314603,0.6241262341936541,2708,12.31906189654391,419,198,104,221,2185,0.6556291390728477,0.47255369928400953,0.5492371705963939,0.045434687636522496
ETTh1,168,fold4,LGBM q=0.7,1.5682392192352386,1.9885523315729163,0.5646598901061981,2708,12.31906189654391,419,253,174,166,2115,0.5925058548009368,0.60381861575179,0.5981087470449173,0.07601572739187418
ETTh1,168,fold4,LGBM q=0.8,1.6815192400531815,2.1200016096494876,0.5052030489746022,2708,12.31906189654391,419,256,184,163,2105,0.5818181818181818,0.6109785202863962,0.5960419091967404,0.08038444735692442
ETTh1,168,fold4,LGBM q=0.9,2.1217203661646606,2.630330551785878,0.23831519428192327,2708,12.31906189654391,419,323,302,96,1987,0.5168,0.7708830548926014,0.6187739463601533,0.13193534294451725
